name,code,yr2015,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yrchange
Georgia,GEO,9642,537,611,694,788,894,1018,1158,1316,1494,1694,1918,2168,2447,2756,3101,3500,3958,4469,5010,5589,6193,6814,7461,8150,8868,9105
Ghana,GHA,274562,115230,137081,160858,186063,211143,235210,255869,273277,288218,298334,305801,310492,312557,311688,309297,306561,302740,298208,293919,290331,286524,282768,280730,279321,277085,159332
Greece,GRC,16156,6540,6871,7131,7366,7596,7821,8046,8274,8506,8737,8999,9548,10178,10776,11324,11834,12320,12788,13224,13625,13983,14326,14673,15062,15528,9616
Guatemala,GTM,54585,797,1196,1707,2381,3301,4575,6032,7932,10389,13262,16413,19640,22944,26409,29767,33213,36038,38300,40396,42518,44370,46541,48833,50975,52892,53788
Guinea,GIN,116802,14771,21810,30823,41383,52358,62454,70948,77445,82036,84834,86869,88144,89021,89943,90889,92245,93928,96103,98078,100827,104321,107546,110627,112853,114763,102031
Guyana,GUY,7776,260,426,714,1107,1530,2022,2572,3037,3464,3831,4121,4354,4576,4814,5087,5400,5751,6045,6308,6572,6822,7051,7261,7448,7622,7516
Haiti,HTI,133519,77140,97584,119595,142601,166150,188788,210058,229044,244738,257307,265644,269856,269823,265608,257653,246479,233440,219880,208072,196665,184859,172180,160173,149609,140784,56379
Honduras,HND,20027,41971,46315,49440,51560,52622,52548,51650,50038,47942,45502,42860,40102,37322,34687,32544,30568,28846,27430,26167,25010,24016,23056,22192,21420,20715,-21944
Indonesia,IDN,692777,89,182,386,828,1732,3504,6728,11717,18830,28334,41832,62870,97342,142478,190846,241354,294317,348916,401333,452278,500111,544795,585464,623426,658492,692688
"Iran, Islamic Republic of",IRN,73175,2541,2912,3264,3596,4102,4990,6767,10404,15020,19514,24199,28905,33423,37570,41342,44805,48198,51374,54568,57494,60204,62866,65568,68164,70765,70634
Italy,ITA,136785,2,10,46,205,892,3686,13071,32774,53117,66119,73974,79398,83924,87978,91915,95873,100009,104340,108672,112890,117010,121052,125041,128989,132899,136783
Jamaica,JAM,29038,11147,14437,17807,21154,23871,25921,27685,29026,30070,30738,31071,31116,30962,30628,30140,29689,29463,29168,28944,28802,28791,28736,28715,28794,28946,17891
Kazakhstan,KAZ,23134,249,334,455,626,861,1175,1570,2065,2662,3315,4034,4786,5535,6284,7036,7791,8619,9513,10500,11653,12918,14362,16029,17981,20320,22885
Kenya,KEN,1517670,695409,895201,1107710,1316180,1502660,1651840,1753980,1805500,1811440,1780950,1725820,1656820,1579650,1502200,1428980,1370240,1330800,1319080,1318060,1332620,1353370,1379250,1414940,1451910,1485110,822261
Kyrgyzstan,KGZ,8098,45,61,84,114,154,209,281,375,497,653,847,1093,1393,1756,2187,2692,3257,3878,4528,5165,5732,6256,6710,7094,7525,8053
Latvia,LVA,6844,883,1550,2460,3334,3939,4399,4803,5173,5501,5786,6013,6204,6356,6475,6568,6634,6674,6709,6766,6800,6825,6830,6825,6817,6816,5961
Lesotho,LSO,308068,19540,27782,39550,55711,76472,99252,121196,141179,159761,176792,192455,206646,218919,229085,237550,244670,251240,257878,265075,271396,278111,284663,291331,297398,302981,288528
Liberia,LBR,30205,7081,9201,11497,14062,16974,20385,24728,29362,33680,37136,38846,40182,40530,40317,39686,38948,38058,37253,36280,35184,33957,32940,32128,31424,30835,23124
Madagascar,MDG,47903,1759,3022,4886,7527,10990,15389,20908,26855,32863,38674,43651,47169,49154,49881,49374,48190,46618,44950,43406,42160,41523,41403,41909,43102,45090,46144
Malawi,MWI,976281,417118,499469,575206,644684,709587,775230,834278,884601,925879,956924,978165,990800,996345,995367,989573,981090,971802,965212,961487,961500,964452,966787,968105,971124,974711,559163
Malaysia,MYS,91648,9508,29486,47359,57965,66443,74530,81642,87426,92282,96221,99484,102195,104457,106289,107536,108173,108297,108146,107538,106653,105306,103489,101260,98299,95027,82140
Mali,MLI,124169,78281,89249,97593,104708,108935,110966,111303,110334,108774,107113,105325,103516,102037,100934,100476,100680,101038,102735,105391,108377,111124,113908,116798,119478,122063,45888
Mauritania,MRT,13687,2500,3121,3822,4639,5560,6577,7652,8753,9868,10995,12015,12963,13795,14440,14893,15139,15319,15378,15414,15330,15190,14969,14700,14367,14029,11187
Mexico,MEX,198239,47515,77648,102514,120891,133829,142811,148845,152522,154245,154399,153403,152219,151163,150778,151399,152821,154772,157651,161211,165315,169802,174657,179932,185794,191928,150724
Mongolia,MNG,413,0,0,1,1,1,2,2,3,4,6,9,12,17,24,33,46,62,83,109,139,176,218,265,314,364,413
Morocco,MAR,24309,1528,1909,2379,2950,3627,4399,5334,6425,7692,9175,10829,12512,14117,15623,17104,18429,19601,20599,21472,22259,22960,23423,23600,23829,24067,22781
Mozambique,MOZ,1505910,92277,118217,151501,191996,240018,293962,355024,422810,497880,577604,658948,740453,820302,896039,966138,1031290,1092750,1152080,1215260,1275290,1331230,1379540,1417120,1448000,1476500,1413633
Myanmar,MMR,224795,10032,24441,40810,54446,68875,84000,99823,119135,140157,164720,190657,212144,227515,238031,244583,247338,247111,245616,242817,238803,234676,230790,227422,225300,224348,214763
Namibia,NAM,210847,10041,15940,24896,37943,55777,77601,101585,124811,145402,161558,173286,180667,184336,185385,184530,183375,183016,183990,186552,189406,192538,196022,199785,203524,207205,200806
Nepal,NPL,39397,13,45,115,308,696,1435,2860,5592,10264,16549,23168,29353,34963,40080,44128,46532,47242,47520,47262,46569,45691,44681,43463,42082,40713,39384
Nicaragua,NIC,9925,5416,5906,6500,7110,7795,8493,9185,9864,10308,10615,10816,10801,10592,10295,9935,9574,9294,9096,8982,8917,8929,8995,9140,9349,9603,4509
Niger,NER,48951,8982,12341,16482,21541,27259,33743,40597,47584,54230,60351,65367,69224,71905,73187,73041,71671,69503,66912,64045,61039,58399,55933,53762,51951,50442,39969
Nigeria,NGA,3455700,704359,849833,1022640,1218820,1438750,1674120,1911430,2137060,2340170,2512490,2653100,2764260,2845620,2904750,2950680,2986560,3014670,3038030,3056510,3119210,3174710,3225120,3270800,3322540,3385240,2751341
Pakistan,PAK,102042,2374,2813,3292,3768,4215,4723,5305,5959,6768,7715,8816,10191,11796,13787,16173,19159,22803,26878,31820,39506,48072,57667,68079,78996,90353,99668
Panama,PAN,17101,3643,5186,6933,8517,9639,10312,10702,10935,11076,11198,11511,11794,12019,12238,12472,12727,13029,13383,13748,14152,14650,15125,15618,16097,16581,13458
Papua New Guinea,PNG,40110,1384,2216,3387,4955,6939,9334,12053,15044,18198,21416,24802,27692,30095,31820,32897,33477,33735,34033,34518,35003,35555,36030,36678,37539,38700,38726
Paraguay,PRY,17499,2722,3281,3837,4395,5028,5769,6604,7510,8381,9360,10379,11301,12121,12840,13429,13906,14367,14815,15274,15689,16144,16522,16822,17078,17304,14777
Peru,PER,66195,55648,58458,60794,62057,62710,62860,62853,62690,62503,62314,62100,61819,61474,61158,60889,60375,59972,59645,59734,59912,60639,61586,62647,63970,65246,10547
Philippines,PHL,42453,133,167,251,394,583,830,1099,1415,1786,2209,2695,3244,3720,4284,4970,5789,6818,8151,9955,12609,16351,20365,25124,30506,36979,42320
"Moldova, Republic of",MDA,17985,271,404,664,1091,1660,2360,3245,4300,5454,6605,7698,8696,9571,10337,11034,11696,12374,13103,13842,14606,15373,16106,16785,17338,17740,17714
Rwanda,RWA,201875,172873,183165,186082,185792,187485,193066,202955,212168,218528,220886,217239,211153,203982,196662,189112,184530,182613,182930,184159,185604,187753,189820,192574,195512,198680,29002
Senegal,SEN,45795,6200,7455,8992,10840,13088,15816,19068,22824,27024,31558,36231,40663,44799,48170,50529,51729,51793,51283,51451,50879,50148,49446,48614,47667,46765,39595
Sierra Leone,SLE,51065,319,587,1026,1708,2705,4120,6029,8465,11589,15351,19862,24969,30473,35938,40937,44941,47987,50176,51397,52222,52731,52783,52573,52340,51760,50746
Somalia,SOM,30206,2472,3833,5481,7397,9566,12040,14642,17247,19631,21741,23496,24891,26010,26898,27583,28106,28516,28629,28719,28825,28929,29051,29206,29451,29783,27734
South Africa,ZAF,6984580,209099,358055,591779,931655,1394810,1977750,2652500,3376500,4080940,4744090,5313630,5777730,6123910,6354530,6478600,6518030,6496830,6451050,6407150,6366810,6350950,6410020,6500150,6633980,6805490,6775481
South Sudan,SSD,179120,4317,7373,11865,17488,23933,31306,40172,50607,62051,74234,85996,97649,108509,115774,122471,128952,135771,141774,147479,152712,157875,162802,167592,171954,176132,174803
Spain,ESP,148879,81049,90374,98170,101996,104116,104459,105182,106795,109773,112516,115877,119181,122601,126180,129592,132881,136126,139331,142014,144009,145579,146378,146808,147231,147839,67830
Sri Lanka,LKA,4158,48,55,63,85,137,195,259,330,409,497,595,706,820,932,1073,1266,1482,1715,1963,2230,2513,2808,3113,3434,3782,4110
